gender,age_range,country,acct_age_weeks,user_id
male,0 - 17,US,4,1b000c716b7647c1b83185048875ac27
female,35 - 44,BR,1,e56ca02bedff490d87b7eab807e5fdf2
male,25 - 29,US,78,edee4296fe534e908ad8c82063390100
female,35 - 44,US,11,23546d2f49314e8793eaa397ef29b060
female,30 - 34,DK,135,9fb7df7aa9b34ce9b5f6d10b39cd0616
female,18 - 24,PH,69,2ea8e6cd6a2740b7949bbfb6466609bd
female,55+,IT,54,37a6d8b90e9549de81fdca67842680f8
female,35 - 44,IT,68,a5c8ca6314e14c91a12cefe461f26b2e
female,45 - 54,MX,14,2b6b5b0eb26c4536b88ae03de3dae2d9
female,18 - 24,IT,2,cfb4708570a74092a9fbfa3d66d735a4
male,25 - 29,US,127,e379cb7424a641488d04dd6d08318032
female,18 - 24,US,46,e3a7058fa1e44c5585a93d3f052193f9
unknown,55+,US,49,300019681f534c40827fa9fb69e0d1b3
female,35 - 44,PH,40,877bb1c63534407a8d966918363b24a6
male,18 - 24,US,18,98f9d3f45bb24907bf54ca6fec3fa23a
male,18 - 24,NL,97,195472ac82554d01b78cf211a63b1d7a
male,30 - 34,US,135,15fd66ee7a8b4c788f7da3407e0149be
female,35 - 44,BR,2,2a3e92c7c41749b8b6a3c14bcd163412
female,30 - 34,US,14,331df4862afc4cc88143eba0b71c0bea
female,35 - 44,PH,59,a2d25b5381004c589290d62e6aafe7cf
male,0 - 17,MX,0,ad8b6d1f929545d28047e1c4581f37a8
female,18 - 24,PE,16,75b61b57287d4722b53dd12559d9896b
male,45 - 54,NO,307,f39069cb79ec41878f486fd7763aaacb
female,18 - 24,US,52,99269f77874246849d9d3b37c9350915
female,0 - 17,US,74,a3b58e4ad60641f88761abc3fd241d39
female,55+,US,45,db75a52406cc4cb489ca6b42a0c4cbe6
female,0 - 17,BR,8,1c2a20439122451ea472275e3cdb8bea
female,18 - 24,ES,201,f6f4c9d6f6a34674aaa8486768517b6e
male,18 - 24,US,33,dad9f977028a43829de7a7a594ad701a
male,30 - 34,PL,72,f05d382e2a384eb3877d17430863694c
female,18 - 24,US,208,da6816a7c50e43f49e97fdb3fcf1687a
male,18 - 24,DE,112,fbb1a2cc2da5444a9afbbc1dd919cdd2
male,0 - 17,US,8,31f3da31db4b42c191f4b3cfc51f2983
female,0 - 17,BR,3,c523a884a41f4000bcacd89f907d4d3d
male,30 - 34,LV,129,a8956c4923e64dfd8ded33772159d630
male,35 - 44,CH,106,bf3ce915b3aa448a965b8e29c70e94f0
female,30 - 34,US,83,d2a387b945304662bdf58905aaa6b677
male,35 - 44,CA,31,e7a37d372ad642ae92c4c636835fb8d4
female,18 - 24,IT,33,da55e4cb5a8f486a9e9097f8a25cf085
male,18 - 24,ES,17,91fdc82cd06c437d9429902a5b224d2a
female,45 - 54,IT,86,cf164e48090646ee8b1c8f65379fe02e
male,35 - 44,ES,91,579a7d227b8641c18d613a69b1c10599
female,35 - 44,GB,19,64fff1a99a8e40dbb3f638060faa018b
male,55+,BR,70,c83853aa74bd44d7b5bf97b4b5e84dd9
male,25 - 29,AU,71,eb2337bb96444848a54d37b4ba759e60
female,18 - 24,US,52,2544ac3489194099b1face38e8cb70b9
female,0 - 17,US,208,5a0748ad86824dd191cd7ed79d383ad6
male,18 - 24,US,195,9352f0be49c1480e871720b5b30f2dc6
male,0 - 17,CA,60,c73083628c2343118bf54b96bf0b391e
female,18 - 24,HU,64,59ba9c7383824852a6e9a794bb22fa0f
female,45 - 54,ES,209,25adbb96c8ef4827b8943affc56c3456
female,18 - 24,IT,13,319fc170a30d4ff4bd2cc1a16099984d
female,18 - 24,MY,7,a85b81f0a4a548fd9929c77307c68db0
male,18 - 24,AU,18,c88e77f97f7b4f6ca9d775095bd5b700
female,35 - 44,GB,333,1b7b5d73f4a2488a8e0d0d5ceea23d3e
male,18 - 24,US,2,bdf00f49d75147fa945e5f35a887feee
female,18 - 24,BR,14,105b50c3fcb04efd963fa5f290505bff
female,55+,TR,1,9892993050954eaf871592c6cc0b2d9c
male,18 - 24,DK,155,94b371f6867747bfba44a3ab40f78fe6
male,18 - 24,AR,15,bd269e1a93bf4dbcb24a73e556617957
male,18 - 24,BR,12,032eb6d11a9a4355a59ec1ba32428418
female,0 - 17,US,28,b897f9cea21747c2ae0787ddae652683
male,25 - 29,US,46,4dbb3822374148a1aeb759b2aa794da2
male,25 - 29,CO,0,f5ad2662ea6141f8817e79722ef3c250
unknown,45 - 54,TR,77,934b77ef6251415185eea3ebca733127
female,25 - 29,BE,52,c2c45c909e50400b879dbb8c290ea44a
female,25 - 29,US,8,be0d363142584134b57a2b6a75520a6d
male,35 - 44,US,51,c3f85a3aa49644cfb843e42282d561aa
male,25 - 29,SE,0,c52172c7666b4175ae80d882aa9649c9
male,18 - 24,CO,48,6b8289d78b914b31b93e63d62827321b
male,18 - 24,DE,42,6ea7e2bd6ce04b4c93f62272c0d255df
female,55+,US,150,9e8b0c2f6f6b424ca98d5d93a1fe2d46
male,25 - 29,MX,341,d81d5402fbb347bba3ef89ae745a582c
female,18 - 24,FR,174,45b5a193fe7d4a1ead3d0281799b99b9
male,25 - 29,GB,48,62eeec1cc4cf4eca936a573397c85a10
male,30 - 34,ES,34,4089462383e1443ea3a166c5c4981bfb
